,player_name,player_total_points,player_raids_total,player_raid_points_touch,player_raid_points_raid_bonus,player_tackle_points_total,player_tackle_points_touch,player_raids_successful,player_raids_unsuccessful,player_raids_Empty
866,Vishal Bharadwaj,7,1,1,0,6,6,1,0,0
867,Vishal Bhardwaj,189,57,0,0,189,168,0,1,56
868,Vishal Mane,147,3,2,1,144,136,1,1,1
869,Vishal Nain,1,14,1,0,0,0,1,4,9
870,Vishal Prabhakar Mane,26,0,0,0,26,26,0,0,0
871,Vishav Chaudhary,2,11,1,1,0,0,1,4,6
872,Vishnu Uthaman,1,9,0,0,1,1,0,5,4
873,Vivek Bhoite,0,0,0,0,0,0,0,0,0
874,Wahyuni Kadek Candra,0,0,0,0,0,0,0,0,0
875,Wajid Ali,5,5,3,1,1,1,3,1,1
876,Waleed Al Hasani,28,23,12,2,14,14,10,13,0
877,Waqar Ali,5,11,5,0,0,0,3,2,6
878,Warit Songsri,1,4,1,0,0,0,1,2,1
879,Wasim Sajjad,8,2,0,0,8,8,0,2,0
880,Wazir Singh,337,624,220,58,59,57,227,125,271
881,Wei Hung Lin,0,0,0,0,0,0,0,0,0
882,Wei Yang,2,3,0,0,2,2,0,2,1
883,Worawut Chuaikoed,0,0,0,0,0,0,0,0,0
884,Yahan Chuang,0,1,0,0,0,0,0,0,1
885,Yashwant Bishnoi,0,2,0,0,0,0,0,1,1
886,Yasushi Nakajo,5,7,5,0,0,0,5,1,1
887,Yatharth,11,1,0,0,11,10,0,0,1
888,Yiyun Huang,0,1,0,0,0,0,0,1,0
889,Yogesh Hooda,37,109,17,10,10,10,22,35,52
890,Yogesh Hudda,13,31,10,2,1,1,11,9,11
891,Yogesh Navale,0,0,0,0,0,0,0,0,0
892,Yogesh Subhash Sawant,0,0,0,0,0,0,0,0,0
893,Yong Joo Ok,14,4,3,0,11,11,3,0,1
894,Yosuke Sasaki,2,5,1,1,0,0,1,2,2
895,Young Chang Ko,54,4,4,0,50,41,2,0,2
896,Yuchen Hu,1,3,0,1,0,0,0,1,2
897,Yufen Lin,1,4,0,1,0,0,0,3,1
898,Yujung Wu,2,1,0,0,2,1,0,0,1
899,Yungting Chen,0,0,0,0,0,0,0,0,0
900,Yuten Kawate,4,5,2,2,0,0,4,1,0
901,Yutzu Liao,0,1,0,0,0,0,0,0,1
902,Yuvraj Pandeya,0,0,0,0,0,0,0,0,0
903,Zahra Abbasi,0,0,0,0,0,0,0,0,0
904,Zahra Karimi,0,0,0,0,0,0,0,0,0
905,Zakir Hossain,7,21,5,1,1,1,4,5,12
906,Ziaur Rahman,48,7,2,2,44,42,3,3,1
